tag1,tag2,tag bị bỏ,,,,,
blockchain,"tiền ảo, bitcoin, smart contract",,PCA nên là nhận diện ?? ,,,,
mạng 5g,"scma, 3g",,,,,,
fpga,"mimo, avalon bus","Renesas Starter Kit, rsk , h8sx1664, lcd",,,,,
gan,mạng sinh đối kháng,,,,,,
ids,hệ thống phát hiện xâm nhập,,,,,,
sdn,mạng khả lập trình,,,,,,
nlp,"tách chữ, tách từ,data mining , khai phá dữ liệu, kdd, cụm từ tiếng việt, từ tiếng việt, ngữ nghĩa, ngôn ngữ tự nhiên, apriori, web mining, natural language processing, nature language processing, khai thác luật, khai thác tập, dci plus, bittable , dbv. gsp, computational linguistics, ngôn ngữ học tính toán, phân tích cú pháp, syntactic analysis or parsing, dich máy , machine translation, liên kết từ, phân tích dữ liệu, phân tích từ, meta data, siêu dữ liệu, big data ,metadata, bigdata, xử lí tiếng việt, xử lý tiếng việt, xử lí văn bản, xử lý văn bản, sumo, suggested upper merged ontology, phân tích cảm xúc",,,,,,
e-commerce,"mua bán qua mạng, tmđt, tmdt, crm, b2c , c2c , consumer-to-consumer, busines-to-business, odoo, erp, khách hàng, kinh doanh, kdtm, cmis, alfreshco, hệ thống bán, qr, groupon, cia , customer insights analysis ,cif , customer insights framework, customer, đặt hàng online, bán hàng trực tuyến, gian hàng online, gian hàng, giao hàng, giao vận, sàn giao dịch, mua bán,mua sắm, mua hàng, shopee, tiki, lazada, sendo, fado, loship, marketing, e-marketing, odoo, sản phẩm trực tuyến, rao vặt",,,,,,
web,"web from sematic, web ngữ nghĩa, website, reactjs, nextjs, geonode, silverlight, rest, front-end, front end, back-end, backend, hệ thống quản lý tài liệu mạng, liferay portal, liferay, ứng dụng hỗ trợ quản lý luồng công việc, rdf,  resource description framework, world wide web, web site, lucence, search engine, html5, web3d, webgl, wmi, windows management instrumentation, www",,,,,,
ai,"ontology, đại số gia tử, đsgt, dsgt, khoa học máy tính, biễu diễn tri thức, cơ sở tri thức , cokb, tri thức, chatbot, khmt, hình học, giải tích, trí tuệ nhân tạo, ontology matching, đại số tuyến tính, cokb-ont, cokbont, ecokb, enlarge computation objects knowledge base",Ontology là một hình thức biểu diễn tri thức,,,,,
vr,"virtual reality, cardboard",,,,,,
ar,"augmented reality, kudan, vuforia",,,,,,
game,"unity, xna, game engine, cocos2d, gamepad, andengine",,,,,,
rfid,"xử lý tín hiệu số,nhận dạng tần số vô tuyến, radio frequency identification, reader mifare, radio frequency, tần số vô tuyến, rf, hf-rfid, merc522 ",,,,,,
robot,"ms robotics developer studio, mrds, nxt mindstorm, lego mindstorm nxt ,robotics, robocon, lego mindstorm",,,,,,
tự động hóa,"tự định hướng, automatic",,,,,,
cloud,"điện toán đám mây, cloud computing , cloud computing/mapreduce, công nghệ đám mây, đám mây",,,,,,
mạng wifi,"không dây, mạng cảm biến không dây, wireless sensor network, wsn ,wireless fidelity",,,,,,
,,,,,,,
